
Gurobi 13.0.2 (win64) logging started Sat Jul 11 08:03:44 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI5_tJ5_s3_m1_exact_s0_20260711-080344.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9804452
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9804452
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0xbfcd80de
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [7e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 5.926254e+04, 8 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 60485.6681    0   31 171099.000 60485.6681  64.6%     -    0s
     0     0 60497.7044    0   33 171099.000 60497.7044  64.6%     -    0s
     0     0 60537.5811    0   31 171099.000 60537.5811  64.6%     -    0s
     0     0 60550.4195    0   32 171099.000 60550.4195  64.6%     -    0s
     0     0 60565.0117    0   30 171099.000 60565.0117  64.6%     -    0s
     0     0 60575.3664    0   33 171099.000 60575.3664  64.6%     -    0s
     0     0 60582.5617    0   34 171099.000 60582.5617  64.6%     -    0s
     0     0 60597.4412    0   32 171099.000 60597.4412  64.6%     -    0s
     0     0 60633.8799    0   33 171099.000 60633.8799  64.6%     -    0s
     0     0 60645.1225    0   30 171099.000 60645.1225  64.6%     -    0s
     0     0 60650.0446    0   34 171099.000 60650.0446  64.6%     -    0s
     0     0 60659.1308    0   34 171099.000 60659.1308  64.5%     -    0s
     0     0 60660.7476    0   33 171099.000 60660.7476  64.5%     -    0s
     0     0 60664.2877    0   36 171099.000 60664.2877  64.5%     -    0s
     0     0 60672.3912    0   36 171099.000 60672.3912  64.5%     -    0s
     0     0 60682.8466    0   34 171099.000 60682.8466  64.5%     -    0s
     0     0 60703.0398    0   33 171099.000 60703.0398  64.5%     -    0s
     0     0 60715.3758    0   34 171099.000 60715.3758  64.5%     -    0s
     0     0 60735.2486    0   31 171099.000 60735.2486  64.5%     -    0s
     0     0 60746.2446    0   35 171099.000 60746.2446  64.5%     -    0s
     0     0 60759.8250    0   36 171099.000 60759.8250  64.5%     -    0s
