
Gurobi 13.0.2 (win64) logging started Sat Jul 11 01:37:45 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK100_nL5_tI2_tJ2_s4_m1_exact_s0_20260711-013745.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.982877
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.982877
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0x3ae819f8
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+01, 1e+03]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 1e+04]
  RHS range        [1e+03, 1e+03]

Using branch priorities.
Presolve removed 6 rows and 0 columns
Presolve time: 0.00s
Presolved: 4 rows, 45 columns, 80 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 5.548375e+04, 5 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 55876.4059    0   27 227977.000 55876.4059  75.5%     -    0s
     0     0 55877.7919    0   29 227977.000 55877.7919  75.5%     -    0s
     0     0 55885.5925    0   25 227977.000 55885.5925  75.5%     -    0s
     0     0 55886.8020    0   26 227977.000 55886.8020  75.5%     -    0s
     0     0 55889.4078    0   28 227977.000 55889.4078  75.5%     -    0s
     0     0 55896.1440    0   30 227977.000 55896.1440  75.5%     -    0s
     0     0 55904.6863    0   25 227977.000 55904.6863  75.5%     -    0s
     0     0 55909.7011    0   29 227977.000 55909.7011  75.5%     -    0s
     0     0 55912.0708    0   28 227977.000 55912.0708  75.5%     -    0s
     0     0 55913.6844    0   29 227977.000 55913.6844  75.5%     -    0s
     0     0 55918.7911    0   26 227977.000 55918.7911  75.5%     -    0s
     0     0 55922.2418    0   27 227977.000 55922.2418  75.5%     -    0s
     0     0 55928.2819    0   29 227977.000 55928.2819  75.5%     -    0s
     0     0 55930.3643    0   29 227977.000 55930.3643  75.5%     -    0s
     0     0 55932.8779    0   29 227977.000 55932.8779  75.5%     -    0s
     0     0 55935.4573    0   28 227977.000 55935.4573  75.5%     -    0s
     0     0 55940.9862    0   29 227977.000 55940.9862  75.5%     -    0s
     0     0 55943.5206    0   28 227977.000 55943.5206  75.5%     -    0s
     0     0 55945.4488    0   28 227977.000 55945.4488  75.5%     -    0s
     0     0 55950.7690    0   27 227977.000 55950.7690  75.5%     -    0s
     0     0 55954.7847    0   29 227977.000 55954.7847  75.5%     -    0s
     0     0 55962.1027    0   27 227977.000 55962.1027  75.5%     -    0s
     0     0 55975.5830    0   30 227977.000 55975.5830  75.4%     -    0s
     0     0 55990.0926    0   26 227977.000 55990.0926  75.4%     -    0s
     0     0 55993.2012    0   26 227977.000 55993.2012  75.4%     -    0s
     0     0 55999.7050    0   27 227977.000 55999.7050  75.4%     -    0s
     0     0 56003.0465    0   26 227977.000 56003.0465  75.4%     -    0s
     0     0 56004.7603    0   28 227977.000 56004.7603  75.4%     -    0s
     0     0 56006.5649    0   30 227977.000 56006.5649  75.4%     -    0s
     0     0 56010.7954    0   31 227977.000 56010.7954  75.4%     -    0s
     0     0 56017.3984    0   28 227977.000 56017.3984  75.4%     -    0s
     0     0 56018.7899    0   29 227977.000 56018.7899  75.4%     -    0s
     0     0 56023.6679    0   26 227977.000 56023.6679  75.4%     -    0s
     0     0 56028.5412    0   30 227977.000 56028.5412  75.4%     -    0s
     0     0 56033.1799    0   30 227977.000 56033.1799  75.4%     -    0s
     0     0 56037.4614    0   26 227977.000 56037.4614  75.4%     -    0s
     0     0 56038.3855    0   28 227977.000 56038.3855  75.4%     -    0s
     0     0 56041.8235    0   25 227977.000 56041.8235  75.4%     -    0s
     0     0 56044.9422    0   29 227977.000 56044.9422  75.4%     -    0s
     0     0 56048.1177    0   29 227977.000 56048.1177  75.4%     -    0s
     0     0 56048.5334    0   28 227977.000 56048.5334  75.4%     -    0s
     0     0 56049.4198    0   29 227977.000 56049.4198  75.4%     -    0s
     0     0 56050.6520    0   29 227977.000 56050.6520  75.4%     -    0s
     0     0 56055.3772    0   28 227977.000 56055.3772  75.4%     -    0s
     0     0 56061.7396    0   29 227977.000 56061.7396  75.4%     -    0s
     0     0 56070.8242    0   27 227977.000 56070.8242  75.4%     -    0s
     0     0 56074.5652    0   32 227977.000 56074.5652  75.4%     -    0s
     0     0 56077.9963    0   33 227977.000 56077.9963  75.4%     -    0s
     0     0 56081.6476    0   32 227977.000 56081.6476  75.4%     -    0s
     0     0 56086.6109    0   29 227977.000 56086.6109  75.4%     -    0s
     0     0 56089.1733    0   31 227977.000 56089.1733  75.4%     -    0s
     0     0 56091.3933    0   29 227977.000 56091.3933  75.4%     -    0s
     0     0 56093.2063    0   33 227977.000 56093.2063  75.4%     -    0s
     0     0 56094.1584    0   32 227977.000 56094.1584  75.4%     -    0s
     0     0 56096.4860    0   34 227977.000 56096.4860  75.4%     -    0s
     0     0 56100.0451    0   33 227977.000 56100.0451  75.4%     -    0s
     0     0 56105.3378    0   30 227977.000 56105.3378  75.4%     -    0s
     0     0 56106.8965    0   33 227977.000 56106.8965  75.4%     -    0s
     0     0 56108.1224    0   32 227977.000 56108.1224  75.4%     -    0s
     0     0 56109.9502    0   32 227977.000 56109.9502  75.4%     -    0s
     0     0 56121.7768    0   32 227977.000 56121.7768  75.4%     -    0s
     0     0 56124.5495    0   33 227977.000 56124.5495  75.4%     -    0s
     0     0 56132.3115    0   30 227977.000 56132.3115  75.4%     -    0s
     0     0 56139.9481    0   30 227977.000 56139.9481  75.4%     -    0s
     0     0 56152.5337    0   30 227977.000 56152.5337  75.4%     -    0s
     0     0 56154.5180    0   31 227977.000 56154.5180  75.4%     -    0s
     0     0 56155.7514    0   34 227977.000 56155.7514  75.4%     -    0s
