
Gurobi 13.0.2 (win64) logging started Sat Jul 11 09:31:02 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s2_m1_exact_s0_20260711-093102.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9894558
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9894558
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0xca5dbd0b
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+01, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 6e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 6 rows and 0 columns
Presolve time: 0.00s
Presolved: 4 rows, 45 columns, 80 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 2.843882e+04, 4 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 28855.6520    0   27 100755.000 28855.6520  71.4%     -    0s
     0     0 28858.9540    0   27 100755.000 28858.9540  71.4%     -    0s
     0     0 28863.8980    0   28 100755.000 28863.8980  71.4%     -    0s
     0     0 28865.3369    0   28 100755.000 28865.3369  71.4%     -    0s
     0     0 28867.3944    0   29 100755.000 28867.3944  71.3%     -    0s
     0     0 28870.6203    0   30 100755.000 28870.6203  71.3%     -    0s
     0     0 28872.0016    0   29 100755.000 28872.0016  71.3%     -    0s
     0     0 28875.3651    0   29 100755.000 28875.3651  71.3%     -    0s
     0     0 28878.4918    0   29 100755.000 28878.4918  71.3%     -    0s
     0     0 28880.1926    0   30 100755.000 28880.1926  71.3%     -    0s
     0     0 28880.9757    0   30 100755.000 28880.9757  71.3%     -    0s
     0     0 28883.7559    0   28 100755.000 28883.7559  71.3%     -    0s
     0     0 28886.7804    0   28 100755.000 28886.7804  71.3%     -    0s
     0     0 28890.5195    0   30 100755.000 28890.5195  71.3%     -    0s
     0     0 28893.4524    0   30 100755.000 28893.4524  71.3%     -    0s
     0     0 28895.5560    0   31 100755.000 28895.5560  71.3%     -    0s
     0     0 28901.8674    0   30 100755.000 28901.8674  71.3%     -    0s
     0     0 28904.0458    0   31 100755.000 28904.0458  71.3%     -    0s
     0     0 28906.3772    0   28 100755.000 28906.3772  71.3%     -    0s
     0     0 28912.0720    0   28 100755.000 28912.0720  71.3%     -    0s
     0     0 28925.4868    0   29 100755.000 28925.4868  71.3%     -    0s
     0     0 28934.5144    0   29 100755.000 28934.5144  71.3%     -    0s
     0     0 28938.0652    0   33 100755.000 28938.0652  71.3%     -    0s
     0     0 28953.9119    0   30 100755.000 28953.9119  71.3%     -    0s
     0     0 28957.3139    0   31 100755.000 28957.3139  71.3%     -    0s
     0     0 28964.4952    0   31 100755.000 28964.4952  71.3%     -    0s
     0     0 28970.3359    0   27 100755.000 28970.3359  71.2%     -    0s
     0     0 28973.4345    0   32 100755.000 28973.4345  71.2%     -    0s
     0     0 28986.0426    0   26 100755.000 28986.0426  71.2%     -    0s
     0     0 28990.1548    0   30 100755.000 28990.1548  71.2%     -    0s
     0     0 28991.5916    0   33 100755.000 28991.5916  71.2%     -    0s
     0     0 28993.1143    0   31 100755.000 28993.1143  71.2%     -    0s
     0     0 28994.5452    0   34 100755.000 28994.5452  71.2%     -    0s
     0     0 28995.4975    0   34 100755.000 28995.4975  71.2%     -    0s
     0     0 28998.0604    0   31 100755.000 28998.0604  71.2%     -    0s
     0     0 29010.6784    0   27 100755.000 29010.6784  71.2%     -    0s
     0     0 29015.1734    0   30 100755.000 29015.1734  71.2%     -    0s
     0     0 29020.4621    0   28 100755.000 29020.4621  71.2%     -    0s
