
Gurobi 13.0.2 (win64) logging started Wed Jul 15 21:57:44 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL5_tI3_tJ3_s4_m1_exact_s0_20260715-215744.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9887855
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9887855
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0x8cfc2a54
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [5e+00, 6e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 6e+02]

Using branch priorities.
Presolve removed 2 rows and 0 columns
Presolve time: 0.00s
Presolved: 8 rows, 45 columns, 160 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 2.947549e+04, 8 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 31098.6140    0   26 76633.0000 31098.6140  59.4%     -    0s
     0     0 31110.6049    0   27 76633.0000 31110.6049  59.4%     -    0s
     0     0 31119.4653    0   28 76633.0000 31119.4653  59.4%     -    0s
     0     0 31126.3072    0   27 76633.0000 31126.3072  59.4%     -    0s
     0     0 31127.5676    0   27 76633.0000 31127.5676  59.4%     -    0s
     0     0 31129.0825    0   29 76633.0000 31129.0825  59.4%     -    0s
     0     0 31137.4173    0   28 76633.0000 31137.4173  59.4%     -    0s
     0     0 31142.3557    0   29 76633.0000 31142.3557  59.4%     -    0s
     0     0 31148.3807    0   27 76633.0000 31148.3807  59.4%     -    0s
     0     0 31150.9134    0   28 76633.0000 31150.9134  59.4%     -    0s
     0     0 31153.2729    0   26 76633.0000 31153.2729  59.3%     -    0s
     0     0 31155.7957    0   27 76633.0000 31155.7957  59.3%     -    0s
     0     0 31159.7423    0   28 76633.0000 31159.7423  59.3%     -    0s
     0     0 31165.1317    0   30 76633.0000 31165.1317  59.3%     -    0s
     0     0 31170.0765    0   29 76633.0000 31170.0765  59.3%     -    0s
     0     0 31174.4827    0   28 76633.0000 31174.4827  59.3%     -    0s
     0     0 31194.9968    0   26 76633.0000 31194.9968  59.3%     -    0s
     0     0 31201.1555    0   30 76633.0000 31201.1555  59.3%     -    0s
     0     0 31202.2973    0   31 76633.0000 31202.2973  59.3%     -    0s
     0     0 31203.6075    0   31 76633.0000 31203.6075  59.3%     -    0s
     0     0 31214.5064    0   28 76633.0000 31214.5064  59.3%     -    0s
     0     0 31217.4708    0   29 76633.0000 31217.4708  59.3%     -    0s
     0     0 31229.0436    0   30 76633.0000 31229.0436  59.2%     -    0s
     0     0 31232.3166    0   33 76633.0000 31232.3166  59.2%     -    0s
     0     0 31245.1263    0   31 76633.0000 31245.1263  59.2%     -    0s
     0     0 31250.6757    0   31 76633.0000 31250.6757  59.2%     -    0s
     0     0 31254.3278    0   33 76633.0000 31254.3278  59.2%     -    0s
     0     0 31255.6129    0   34 76633.0000 31255.6129  59.2%     -    0s
     0     0 31275.1670    0   31 76633.0000 31275.1670  59.2%     -    0s
     0     0 31285.7263    0   29 76633.0000 31285.7263  59.2%     -    0s
     0     0 31287.7790    0   32 76633.0000 31287.7790  59.2%     -    0s
     0     0 31319.9407    0   27 76633.0000 31319.9407  59.1%     -    0s
     0     0 31335.0912    0   28 76633.0000 31335.0912  59.1%     -    0s
     0     0 31343.5824    0   32 76633.0000 31343.5824  59.1%     -    0s
