
Gurobi 13.0.2 (win64) logging started Sat Jul 11 06:44:28 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI3_tJ3_s5_m1_exact_s0_20260711-064428.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9781496
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9781496
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0x171d3e11
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [6e+00, 6e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 6e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 11 rows and 0 columns
Presolve time: 0.00s
Presolved: 9 rows, 50 columns, 180 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 5.759186e+04, 6 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 59111.6654    0   33 222050.000 59111.6654  73.4%     -    0s
     0     0 59165.2621    0   26 222050.000 59165.2621  73.4%     -    0s
     0     0 59178.7113    0   29 222050.000 59178.7113  73.3%     -    0s
     0     0 59188.3208    0   28 222050.000 59188.3208  73.3%     -    0s
     0     0 59202.7297    0   29 222050.000 59202.7297  73.3%     -    0s
     0     0 59210.8692    0   31 222050.000 59210.8692  73.3%     -    0s
     0     0 59213.8363    0   30 222050.000 59213.8363  73.3%     -    0s
     0     0 59220.7772    0   34 222050.000 59220.7772  73.3%     -    0s
     0     0 59231.0057    0   33 222050.000 59231.0057  73.3%     -    0s
     0     0 59239.0268    0   32 222050.000 59239.0268  73.3%     -    0s
     0     0 59252.1291    0   31 222050.000 59252.1291  73.3%     -    0s
     0     0 59255.1791    0   36 222050.000 59255.1791  73.3%     -    0s
     0     0 59262.8868    0   34 222050.000 59262.8868  73.3%     -    0s
     0     0 59274.4223    0   32 222050.000 59274.4223  73.3%     -    0s
     0     0 59285.8728    0   32 222050.000 59285.8728  73.3%     -    0s
     0     0 59291.9341    0   34 222050.000 59291.9341  73.3%     -    0s
     0     0 59305.7391    0   32 222050.000 59305.7391  73.3%     -    0s
     0     0 59329.0326    0   34 222050.000 59329.0326  73.3%     -    0s
     0     0 59345.9249    0   31 222050.000 59345.9249  73.3%     -    0s
     0     0 59353.8587    0   34 222050.000 59353.8587  73.3%     -    0s
     0     0 59405.3231    0   25 222050.000 59405.3231  73.2%     -    0s
     0     0 59437.4857    0   31 222050.000 59437.4857  73.2%     -    0s
     0     0 59449.6196    0   32 222050.000 59449.6196  73.2%     -    0s
     0     0 59460.3944    0   36 222050.000 59460.3944  73.2%     -    0s
     0     0 59487.4047    0   33 222050.000 59487.4047  73.2%     -    0s
     0     0 59499.1463    0   31 222050.000 59499.1463  73.2%     -    0s
     0     0 59508.0652    0   33 222050.000 59508.0652  73.2%     -    0s
     0     0 59517.9203    0   38 222050.000 59517.9203  73.2%     -    0s
     0     0 59525.7023    0   37 222050.000 59525.7023  73.2%     -    0s
     0     0 59580.1295    0   30 222050.000 59580.1295  73.2%     -    0s
     0     0 59620.0054    0   34 222050.000 59620.0054  73.2%     -    0s
     0     0 59639.3283    0   33 222050.000 59639.3283  73.1%     -    0s
     0     0 59664.3869    0   36 222050.000 59664.3869  73.1%     -    0s
     0     0 59680.1156    0   35 222050.000 59680.1156  73.1%     -    0s
     0     0 59697.7300    0   33 222050.000 59697.7300  73.1%     -    0s
     0     0 59726.4186    0   33 222050.000 59726.4186  73.1%     -    0s
     0     0 59736.5838    0   33 222050.000 59736.5838  73.1%     -    0s
     0     0 59738.3002    0   33 222050.000 59738.3002  73.1%     -    0s
     0     0 59763.0345    0   37 222050.000 59763.0345  73.1%     -    0s
     0     0 59821.2869    0   31 222050.000 59821.2869  73.1%     -    0s
     0     0 59848.4809    0   36 222050.000 59848.4809  73.0%     -    0s
     0     0 59876.5902    0   33 222050.000 59876.5902  73.0%     -    0s
     0     0 59898.9044    0   32 222050.000 59898.9044  73.0%     -    0s
     0     0 59916.0820    0   32 222050.000 59916.0820  73.0%     -    0s
     0     0 59918.2638    0   34 222050.000 59918.2638  73.0%     -    0s
     0     0 59937.7008    0   28 222050.000 59937.7008  73.0%     -    0s
     0     0 59945.0923    0   33 222050.000 59945.0923  73.0%     -    0s
     0     0 59957.3537    0   31 222050.000 59957.3537  73.0%     -    0s
     0     0 59971.1196    0   35 222050.000 59971.1196  73.0%     -    0s
     0     0 59980.8346    0   33 222050.000 59980.8346  73.0%     -    0s
     0     0 60024.5000    0   34 222050.000 60024.5000  73.0%     -    0s
     0     0 60124.3735    0   34 222050.000 60124.3735  72.9%     -    0s
     0     0 60141.2864    0   35 222050.000 60141.2864  72.9%     -    0s
     0     0 60166.6170    0   35 222050.000 60166.6170  72.9%     -    0s
     0     0 60182.7088    0   35 222050.000 60182.7088  72.9%     -    0s
     0     0 60217.2580    0   34 222050.000 60217.2580  72.9%     -    0s
     0     0 60238.9676    0   33 222050.000 60238.9676  72.9%     -    0s
     0     0 60252.4822    0   37 222050.000 60252.4822  72.9%     -    0s
     0     0 60267.1360    0   37 222050.000 60267.1360  72.9%     -    0s
     0     0 60323.9966    0   34 222050.000 60323.9966  72.8%     -    0s
     0     0 60353.2826    0   34 222050.000 60353.2826  72.8%     -    0s
     0     0 60368.3354    0   33 222050.000 60368.3354  72.8%     -    0s
     0     0 60458.0615    0   34 222050.000 60458.0615  72.8%     -    0s
     0     0 60496.1099    0   35 222050.000 60496.1099  72.8%     -    0s
     0     0 60508.3763    0   37 222050.000 60508.3763  72.8%     -    0s
     0     0 60522.2698    0   34 222050.000 60522.2698  72.7%     -    0s
     0     0 60549.6202    0   33 222050.000 60549.6202  72.7%     -    0s
     0     0 60560.6082    0   35 222050.000 60560.6082  72.7%     -    0s
     0     0 60565.3116    0   37 222050.000 60565.3116  72.7%     -    0s
     0     0 60641.2515    0   30 222050.000 60641.2515  72.7%     -    0s
     0     0 60666.4767    0   34 222050.000 60666.4767  72.7%     -    0s
     0     0 60681.7676    0   34 222050.000 60681.7676  72.7%     -    0s
     0     0 60706.4188    0   35 222050.000 60706.4188  72.7%     -    0s
     0     0 60731.5264    0   35 222050.000 60731.5264  72.6%     -    0s
     0     0 60772.9197    0   37 222050.000 60772.9197  72.6%     -    0s
