datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260715-204856,kstar_nI40_nJ20_nK100_nL10_tI2_tJ2_s4,exact,0,0,0,600,OPTIMAL,111711.00,111711.00,0.00000000,0.61,0.68,-1.00,-1.00,-1.00,0,-1.00,111711.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI2_tJ2_s4_m0_exact_s0_20260715-204856.gurobi.log
20260715-204856,kstar_nI40_nJ20_nK100_nL10_tI2_tJ2_s5,exact,0,0,0,600,OPTIMAL,109767.00,109767.00,0.00000000,0.68,0.74,-1.00,-1.00,-1.00,0,-1.00,109767.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI2_tJ2_s5_m0_exact_s0_20260715-204856.gurobi.log
20260715-204857,kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s1,exact,0,0,0,600,OPTIMAL,116912.00,116912.00,0.00000000,0.49,0.56,-1.00,-1.00,-1.00,0,-1.00,116912.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s1_m0_exact_s0_20260715-204857.gurobi.log
20260715-204858,kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s2,exact,0,0,0,600,OPTIMAL,113178.00,113178.00,0.00000000,0.50,0.56,-1.00,-1.00,-1.00,0,-1.00,113178.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s2_m0_exact_s0_20260715-204858.gurobi.log
20260715-204858,kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s3,exact,0,0,0,600,OPTIMAL,117491.00,117491.00,0.00000000,0.51,0.58,-1.00,-1.00,-1.00,0,-1.00,117491.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s3_m0_exact_s0_20260715-204858.gurobi.log
20260715-204859,kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s4,exact,0,0,0,600,OPTIMAL,118580.00,118580.00,0.00000000,0.47,0.53,-1.00,-1.00,-1.00,0,-1.00,118580.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s4_m0_exact_s0_20260715-204859.gurobi.log
20260715-204900,kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s5,exact,0,0,0,600,OPTIMAL,109189.00,109188.16,0.00000768,0.49,0.56,-1.00,-1.00,-1.00,0,-1.00,109189.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI3_tJ3_s5_m0_exact_s0_20260715-204900.gurobi.log
20260715-204900,kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s1,exact,0,0,0,600,OPTIMAL,118168.00,118168.00,0.00000000,0.56,0.62,-1.00,-1.00,-1.00,0,-1.00,118168.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s1_m0_exact_s0_20260715-204900.gurobi.log
20260715-204901,kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s2,exact,0,0,0,600,OPTIMAL,116248.00,116248.00,0.00000000,0.47,0.53,-1.00,-1.00,-1.00,0,-1.00,116248.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s2_m0_exact_s0_20260715-204901.gurobi.log
20260715-204901,kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s3,exact,0,0,0,600,OPTIMAL,115183.00,115183.00,0.00000000,0.72,0.79,-1.00,-1.00,-1.00,0,-1.00,115183.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s3_m0_exact_s0_20260715-204901.gurobi.log
20260715-204902,kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s4,exact,0,0,0,600,OPTIMAL,112940.00,112940.00,0.00000000,0.55,0.62,-1.00,-1.00,-1.00,0,-1.00,112940.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s4_m0_exact_s0_20260715-204902.gurobi.log
20260715-204903,kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s5,exact,0,0,0,600,OPTIMAL,109923.00,109923.00,0.00000000,0.51,0.59,-1.00,-1.00,-1.00,0,-1.00,109923.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI4_tJ4_s5_m0_exact_s0_20260715-204903.gurobi.log
20260715-204903,kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s1,exact,0,0,0,600,OPTIMAL,111192.00,111192.00,0.00000000,0.42,0.50,-1.00,-1.00,-1.00,0,-1.00,111192.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s1_m0_exact_s0_20260715-204903.gurobi.log
20260715-204904,kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s2,exact,0,0,0,600,OPTIMAL,110710.00,110710.00,0.00000000,0.92,0.99,-1.00,-1.00,-1.00,0,-1.00,110710.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s2_m0_exact_s0_20260715-204904.gurobi.log
20260715-204905,kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s3,exact,0,0,0,600,OPTIMAL,109662.00,109662.00,0.00000000,0.50,0.57,-1.00,-1.00,-1.00,0,-1.00,109662.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s3_m0_exact_s0_20260715-204905.gurobi.log
20260715-204906,kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s4,exact,0,0,0,600,OPTIMAL,118963.00,118963.00,0.00000000,0.47,0.55,-1.00,-1.00,-1.00,0,-1.00,118963.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s4_m0_exact_s0_20260715-204906.gurobi.log
20260715-204906,kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s5,exact,0,0,0,600,OPTIMAL,114317.00,114317.00,0.00000000,0.47,0.54,-1.00,-1.00,-1.00,0,-1.00,114317.00,1,13.0.2,logs/kstar_nI40_nJ20_nK100_nL10_tI5_tJ5_s5_m0_exact_s0_20260715-204906.gurobi.log
