
Gurobi 13.0.2 (win64) logging started Sat Jul 11 09:10:58 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI6_tJ6_s5_m1_exact_s0_20260711-091058.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9801204
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9801204
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0x445775cd
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [1e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 6.377820e+04, 5 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 67011.2215    0   23 135145.000 67011.2215  50.4%     -    0s
     0     0 67015.5627    0   24 135145.000 67015.5627  50.4%     -    0s
     0     0 67054.4227    0   25 135145.000 67054.4227  50.4%     -    0s
     0     0 67072.1031    0   23 135145.000 67072.1031  50.4%     -    0s
     0     0 67100.4238    0   25 135145.000 67100.4238  50.3%     -    0s
     0     0 67112.2533    0   27 135145.000 67112.2533  50.3%     -    0s
     0     0 67130.4675    0   27 135145.000 67130.4675  50.3%     -    0s
     0     0 67144.7995    0   26 135145.000 67144.7995  50.3%     -    0s
     0     0 67183.4224    0   28 135145.000 67183.4224  50.3%     -    0s
     0     0 67192.8912    0   29 135145.000 67192.8912  50.3%     -    0s
     0     0 67220.8761    0   25 135145.000 67220.8761  50.3%     -    0s
     0     0 67273.7674    0   26 135145.000 67273.7674  50.2%     -    0s
     0     0 67287.7900    0   28 135145.000 67287.7900  50.2%     -    0s
     0     0 67384.7241    0   25 135145.000 67384.7241  50.1%     -    0s
     0     0 67431.8708    0   26 135145.000 67431.8708  50.1%     -    0s
     0     0 67440.2068    0   30 135145.000 67440.2068  50.1%     -    0s
     0     0 67458.5969    0   29 135145.000 67458.5969  50.1%     -    0s
     0     0 67495.8547    0   26 135145.000 67495.8547  50.1%     -    0s
     0     0 67552.4837    0   29 135145.000 67552.4837  50.0%     -    0s
     0     0 67570.6988    0   30 135145.000 67570.6988  50.0%     -    0s
     0     0 67629.3211    0   22 135145.000 67629.3211  50.0%     -    0s
     0     0 67637.2811    0   28 135145.000 67637.2811  50.0%     -    0s
     0     0 67650.4635    0   29 135145.000 67650.4635  49.9%     -    0s
     0     0 67665.2885    0   30 135145.000 67665.2885  49.9%     -    0s
     0     0 67772.9406    0   19 135145.000 67772.9406  49.9%     -    0s
     0     0 67838.2970    0   26 135145.000 67838.2970  49.8%     -    0s
     0     0 67879.4916    0   29 135145.000 67879.4916  49.8%     -    0s
     0     0 67954.6201    0   25 135145.000 67954.6201  49.7%     -    0s
     0     0 67972.7463    0   28 135145.000 67972.7463  49.7%     -    0s
     0     0 68005.6675    0   29 135145.000 68005.6675  49.7%     -    0s
     0     0 68013.6075    0   32 135145.000 68013.6075  49.7%     -    0s
     0     0 68017.4195    0   34 135145.000 68017.4195  49.7%     -    0s
     0     0 68122.4591    0   27 135145.000 68122.4591  49.6%     -    0s
     0     0 68191.1879    0   29 135145.000 68191.1879  49.5%     -    0s
     0     0 68255.8782    0   24 135145.000 68255.8782  49.5%     -    0s
     0     0 68279.9266    0   29 135145.000 68279.9266  49.5%     -    0s
     0     0 68327.1276    0   28 135145.000 68327.1276  49.4%     -    0s
     0     0 68388.4058    0   30 135145.000 68388.4058  49.4%     -    0s
     0     0 68434.4343    0   31 135145.000 68434.4343  49.4%     -    0s
     0     0 68440.2955    0   31 135145.000 68440.2955  49.4%     -    0s
     0     0 68458.2278    0   30 135145.000 68458.2278  49.3%     -    0s
     0     0 68492.3073    0   29 135145.000 68492.3073  49.3%     -    0s
     0     0 68507.1173    0   31 135145.000 68507.1173  49.3%     -    0s
     0     0 68537.1504    0   33 135145.000 68537.1504  49.3%     -    0s
     0     0 68551.9235    0   32 135145.000 68551.9235  49.3%     -    0s
     0     0 68629.8324    0   31 135145.000 68629.8324  49.2%     -    0s
     0     0 68658.9701    0   31 135145.000 68658.9701  49.2%     -    0s
     0     0 68733.6534    0   29 135145.000 68733.6534  49.1%     -    0s
     0     0 68754.5848    0   30 135145.000 68754.5848  49.1%     -    0s
     0     0 68787.3826    0   32 135145.000 68787.3826  49.1%     -    0s
     0     0 68889.9258    0   34 135145.000 68889.9258  49.0%     -    0s
     0     0 68920.8876    0   33 135145.000 68920.8876  49.0%     -    0s
     0     0 69088.9474    0   28 135145.000 69088.9474  48.9%     -    0s
     0     0 69285.8572    0   28 135145.000 69285.8572  48.7%     -    0s
     0     0 69370.4462    0   28 135145.000 69370.4462  48.7%     -    0s
     0     0 69387.8205    0   30 135145.000 69387.8205  48.7%     -    0s
     0     0 69671.7152    0   26 135145.000 69671.7152  48.4%     -    0s
     0     0 69731.3643    0   32 135145.000 69731.3643  48.4%     -    0s
     0     0 69740.4008    0   33 135145.000 69740.4008  48.4%     -    0s
     0     0 69802.4718    0   27 135145.000 69802.4718  48.3%     -    0s
     0     0 69847.7935    0   31 135145.000 69847.7935  48.3%     -    0s
H    0     0                    117198.00000 69850.7619  40.4%     -    0s
     0     2 69852.1190    0   35 117198.000 69852.1190  40.4%     -    0s
H 3706  2869                    116849.00000 69998.6932  40.1%   4.1    2s
H 3711  2729                    91957.000000 69998.6932  23.9%   4.1    3s
H 3719  2597                    83953.000000 69998.6932  16.6%   4.1    4s
H 3725  2470                    82553.000000 69998.6932  15.2%   4.1    4s
H 3726  2471                    81768.000000 69998.6932  14.4%   4.1    4s
