
Gurobi 13.0.2 (win64) logging started Wed Jul 15 21:17:36 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s5_m1_exact_s0_20260715-211736.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9885411
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9885411
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0x5a30286e
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [6e+00, 6e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 6e+03]
  RHS range        [6e+02, 6e+02]

Using branch priorities.
Presolve removed 6 rows and 0 columns
Presolve time: 0.00s
Presolved: 4 rows, 45 columns, 80 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 2.731744e+04, 5 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 27836.1988    0   29 108411.000 27836.1988  74.3%     -    0s
     0     0 27840.1674    0   31 108411.000 27840.1674  74.3%     -    0s
     0     0 27847.4496    0   25 108411.000 27847.4496  74.3%     -    0s
     0     0 27854.0584    0   24 108411.000 27854.0584  74.3%     -    0s
     0     0 27863.1299    0   29 108411.000 27863.1299  74.3%     -    0s
     0     0 27869.2794    0   30 108411.000 27869.2794  74.3%     -    0s
     0     0 27873.8210    0   30 108411.000 27873.8210  74.3%     -    0s
     0     0 27876.8360    0   29 108411.000 27876.8360  74.3%     -    0s
     0     0 27880.5170    0   30 108411.000 27880.5170  74.3%     -    0s
     0     0 27886.4058    0   28 108411.000 27886.4058  74.3%     -    0s
     0     0 27889.6610    0   27 108411.000 27889.6610  74.3%     -    0s
     0     0 27893.8115    0   28 108411.000 27893.8115  74.3%     -    0s
     0     0 27902.8060    0   30 108411.000 27902.8060  74.3%     -    0s
     0     0 27913.0802    0   29 108411.000 27913.0802  74.3%     -    0s
     0     0 27915.4872    0   30 108411.000 27915.4872  74.3%     -    0s
     0     0 27922.7329    0   28 108411.000 27922.7329  74.2%     -    0s
     0     0 27930.2455    0   28 108411.000 27930.2455  74.2%     -    0s
     0     0 27935.3230    0   30 108411.000 27935.3230  74.2%     -    0s
     0     0 27938.0140    0   27 108411.000 27938.0140  74.2%     -    0s
     0     0 27944.7649    0   29 108411.000 27944.7649  74.2%     -    0s
     0     0 27947.8423    0   29 108411.000 27947.8423  74.2%     -    0s
     0     0 27949.6583    0   31 108411.000 27949.6583  74.2%     -    0s
     0     0 27950.5407    0   30 108411.000 27950.5407  74.2%     -    0s
     0     0 27951.4721    0   32 108411.000 27951.4721  74.2%     -    0s
     0     0 27952.7231    0   32 108411.000 27952.7231  74.2%     -    0s
     0     0 27957.1904    0   32 108411.000 27957.1904  74.2%     -    0s
     0     0 27963.5634    0   31 108411.000 27963.5634  74.2%     -    0s
     0     0 27964.9619    0   29 108411.000 27964.9619  74.2%     -    0s
     0     0 27967.5160    0   29 108411.000 27967.5160  74.2%     -    0s
     0     0 27968.9874    0   29 108411.000 27968.9874  74.2%     -    0s
     0     0 27970.4714    0   31 108411.000 27970.4714  74.2%     -    0s
     0     0 27973.4762    0   29 108411.000 27973.4762  74.2%     -    0s
     0     0 27975.2975    0   29 108411.000 27975.2975  74.2%     -    0s
     0     0 27979.6227    0   31 108411.000 27979.6227  74.2%     -    0s
     0     0 27984.4816    0   30 108411.000 27984.4816  74.2%     -    0s
     0     0 27990.8177    0   33 108411.000 27990.8177  74.2%     -    0s
     0     0 27997.7178    0   31 108411.000 27997.7178  74.2%     -    0s
     0     0 28003.9487    0   31 108411.000 28003.9487  74.2%     -    0s
     0     0 28005.2290    0   31 108411.000 28005.2290  74.2%     -    0s
     0     0 28010.3868    0   28 108411.000 28010.3868  74.2%     -    0s
     0     0 28016.2213    0   30 108411.000 28016.2213  74.2%     -    0s
     0     0 28026.8581    0   29 108411.000 28026.8581  74.1%     -    0s
     0     0 28030.5191    0   32 108411.000 28030.5191  74.1%     -    0s
     0     0 28038.2084    0   29 108411.000 28038.2084  74.1%     -    0s
     0     0 28047.7620    0   31 108411.000 28047.7620  74.1%     -    0s
     0     0 28049.4114    0   33 108411.000 28049.4114  74.1%     -    0s
     0     0 28054.9162    0   31 108411.000 28054.9162  74.1%     -    0s
     0     0 28056.8548    0   33 108411.000 28056.8548  74.1%     -    0s
     0     0 28073.1107    0   32 108411.000 28073.1107  74.1%     -    0s
     0     0 28078.5334    0   33 108411.000 28078.5334  74.1%     -    0s
     0     0 28085.1241    0   35 108411.000 28085.1241  74.1%     -    0s
     0     0 28092.5016    0   31 108411.000 28092.5016  74.1%     -    0s
     0     0 28099.0465    0   31 108411.000 28099.0465  74.1%     -    0s
     0     0 28105.1316    0   33 108411.000 28105.1316  74.1%     -    0s
     0     0 28108.1797    0   34 108411.000 28108.1797  74.1%     -    0s
     0     0 28114.2778    0   33 108411.000 28114.2778  74.1%     -    0s
     0     0 28117.1266    0   33 108411.000 28117.1266  74.1%     -    0s
     0     0 28120.9630    0   31 108411.000 28120.9630  74.1%     -    0s
     0     0 28125.2575    0   34 108411.000 28125.2575  74.1%     -    0s
     0     0 28128.3373    0   34 108411.000 28128.3373  74.1%     -    0s
     0     0 28132.9684    0   31 108411.000 28132.9684  74.0%     -    0s
     0     0 28133.5388    0   34 108411.000 28133.5388  74.0%     -    0s
     0     0 28134.0955    0   34 108411.000 28134.0955  74.0%     -    0s
     0     0 28134.7309    0   35 108411.000 28134.7309  74.0%     -    0s
     0     0 28135.7662    0   36 108411.000 28135.7662  74.0%     -    0s
     0     0 28137.7565    0   34 108411.000 28137.7565  74.0%     -    0s
     0     0 28140.8583    0   33 108411.000 28140.8583  74.0%     -    0s
     0     0 28155.3359    0   30 108411.000 28155.3359  74.0%     -    0s
     0     0 28157.7263    0   32 108411.000 28157.7263  74.0%     -    0s
     0     0 28159.9821    0   34 108411.000 28159.9821  74.0%     -    0s
     0     0 28162.4484    0   34 108411.000 28162.4484  74.0%     -    0s
     0     0 28163.3649    0   34 108411.000 28163.3649  74.0%     -    0s
     0     0 28170.3538    0   35 108411.000 28170.3538  74.0%     -    0s
     0     0 28179.4236    0   37 108411.000 28179.4236  74.0%     -    0s
     0     0 28184.5387    0   35 108411.000 28184.5387  74.0%     -    0s
     0     0 28196.5857    0   31 108411.000 28196.5857  74.0%     -    0s
     0     0 28201.5148    0   33 108411.000 28201.5148  74.0%     -    0s
     0     0 28209.2141    0   29 108411.000 28209.2141  74.0%     -    0s
     0     0 28212.6167    0   29 108411.000 28212.6167  74.0%     -    0s
     0     0 28219.1599    0   30 108411.000 28219.1599  74.0%     -    0s
     0     0 28223.3229    0   35 108411.000 28223.3229  74.0%     -    0s
     0     0 28224.7147    0   35 108411.000 28224.7147  74.0%     -    0s
     0     0 28240.0570    0   31 108411.000 28240.0570  74.0%     -    0s
     0     0 28244.7325    0   33 108411.000 28244.7325  73.9%     -    0s
     0     0 28251.4294    0   33 108411.000 28251.4294  73.9%     -    0s
     0     0 28257.2020    0   31 108411.000 28257.2020  73.9%     -    0s
     0     0 28261.2160    0   30 108411.000 28261.2160  73.9%     -    0s
     0     0 28262.0795    0   32 108411.000 28262.0795  73.9%     -    0s
     0     0 28262.4290    0   34 108411.000 28262.4290  73.9%     -    0s
     0     0 28263.9876    0   35 108411.000 28263.9876  73.9%     -    0s
     0     0 28265.8885    0   34 108411.000 28265.8885  73.9%     -    0s
     0     0 28266.7672    0   35 108411.000 28266.7672  73.9%     -    0s
     0     0 28270.3535    0   37 108411.000 28270.3535  73.9%     -    0s
     0     0 28275.3938    0   30 108411.000 28275.3938  73.9%     -    0s
     0     0 28282.9285    0   31 108411.000 28282.9285  73.9%     -    0s
     0     0 28288.4755    0   35 108411.000 28288.4755  73.9%     -    0s
     0     0 28291.1054    0   35 108411.000 28291.1054  73.9%     -    0s
     0     0 28295.4389    0   35 108411.000 28295.4389  73.9%     -    0s
     0     0 28297.7972    0   38 108411.000 28297.7972  73.9%     -    0s
