
Gurobi 13.0.2 (win64) logging started Sat Jul 11 09:00:55 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI6_tJ6_s4_m1_exact_s0_20260711-090055.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9802063
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9802063
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0xf230b005
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [4e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 5.670869e+04, 7 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 58308.0432    0   33 141119.000 58308.0432  58.7%     -    0s
     0     0 58344.2466    0   28 141119.000 58344.2466  58.7%     -    0s
     0     0 58375.9324    0   31 141119.000 58375.9324  58.6%     -    0s
     0     0 58413.1808    0   33 141119.000 58413.1808  58.6%     -    0s
     0     0 58473.5069    0   27 141119.000 58473.5069  58.6%     -    0s
     0     0 58546.0225    0   29 141119.000 58546.0225  58.5%     -    0s
     0     0 58554.8499    0   28 141119.000 58554.8499  58.5%     -    0s
     0     0 58582.8932    0   31 141119.000 58582.8932  58.5%     -    0s
     0     0 58591.4433    0   33 141119.000 58591.4433  58.5%     -    0s
     0     0 58604.3921    0   31 141119.000 58604.3921  58.5%     -    0s
     0     0 58631.9584    0   33 141119.000 58631.9584  58.5%     -    0s
     0     0 58641.4263    0   34 141119.000 58641.4263  58.4%     -    0s
     0     0 58685.5523    0   27 141119.000 58685.5523  58.4%     -    0s
     0     0 58738.9697    0   27 141119.000 58738.9697  58.4%     -    0s
     0     0 58764.6098    0   27 141119.000 58764.6098  58.4%     -    0s
     0     0 58801.1360    0   33 141119.000 58801.1360  58.3%     -    0s
     0     0 58813.9397    0   29 141119.000 58813.9397  58.3%     -    0s
     0     0 58841.7485    0   30 141119.000 58841.7485  58.3%     -    0s
     0     0 58864.2676    0   33 141119.000 58864.2676  58.3%     -    0s
     0     0 58884.6753    0   31 141119.000 58884.6753  58.3%     -    0s
     0     0 58896.5036    0   34 141119.000 58896.5036  58.3%     -    0s
