
Gurobi 13.0.2 (win64) logging started Sat Jul 11 08:33:50 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI6_tJ6_s1_m1_exact_s0_20260711-083349.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9800458
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9800458
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0xb4f08ac2
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 5.812310e+04, 4 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 59835.9149    0   33 144125.000 59835.9149  58.5%     -    0s
     0     0 59893.9173    0   26 144125.000 59893.9173  58.4%     -    0s
     0     0 59922.7123    0   30 144125.000 59922.7123  58.4%     -    0s
     0     0 59932.5310    0   31 144125.000 59932.5310  58.4%     -    0s
     0     0 59945.8127    0   31 144125.000 59945.8127  58.4%     -    0s
     0     0 59959.4851    0   31 144125.000 59959.4851  58.4%     -    0s
     0     0 60029.0351    0   29 144125.000 60029.0351  58.3%     -    0s
     0     0 60038.2930    0   30 144125.000 60038.2930  58.3%     -    0s
     0     0 60091.3290    0   29 144125.000 60091.3290  58.3%     -    0s
     0     0 60136.6984    0   32 144125.000 60136.6984  58.3%     -    0s
     0     0 60192.6864    0   31 144125.000 60192.6864  58.2%     -    0s
     0     0 60206.6527    0   34 144125.000 60206.6527  58.2%     -    0s
     0     0 60229.9643    0   32 144125.000 60229.9643  58.2%     -    0s
     0     0 60261.3750    0   27 144125.000 60261.3750  58.2%     -    0s
     0     0 60292.3638    0   31 144125.000 60292.3638  58.2%     -    0s
     0     0 60295.8288    0   31 144125.000 60295.8288  58.2%     -    0s
     0     0 60369.8579    0   31 144125.000 60369.8579  58.1%     -    0s
     0     0 60432.9654    0   32 144125.000 60432.9654  58.1%     -    0s
     0     0 60522.2276    0   29 144125.000 60522.2276  58.0%     -    0s
     0     0 60537.6521    0   32 144125.000 60537.6521  58.0%     -    0s
     0     0 60542.2717    0   35 144125.000 60542.2717  58.0%     -    0s
     0     0 60574.8629    0   34 144125.000 60574.8629  58.0%     -    0s
     0     0 60637.8052    0   32 144125.000 60637.8052  57.9%     -    0s
     0     0 60743.0987    0   29 144125.000 60743.0987  57.9%     -    0s
