instance,nI,nJ,nK,nL,tI,tJ,seed,kstar_target,md5,status,obj,k_used,kstar,nodes,time,agg,timeout,p1,p2i,p2b,p3,rneg,cap
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s1.txt,14,14,30,3,4,4,1,8,d3ac664f064c74eb81e1ef1d58c0865d,TIMEOUT,18080,28,8,47454,60.000,0,1,0,0,23710,0,0,0
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s2.txt,14,14,30,3,4,4,2,8,aa8655f0142a40ddbf38e3595c6d59e7,TIMEOUT,21524,28,8,54130,60.001,0,1,0,0,27039,0,0,0
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s3.txt,14,14,30,3,4,4,3,8,59dc543051bbac2fa25039bb7e80994e,TIMEOUT,22053,28,8,55454,60.000,0,1,0,0,22763,4949,0,0
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s1.txt,14,14,30,3,6,6,1,12,8514b001fc44fe0e310c877008a9cc4c,TIMEOUT,22104,28,12,45068,60.001,0,1,13,0,22495,2,0,0
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s2.txt,14,14,30,3,6,6,2,12,31bb25ac3a249db27f9a313a11bcdc98,TIMEOUT,22931,28,12,48495,60.001,0,1,324,0,17051,6852,0,0
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s3.txt,14,14,30,3,6,6,3,12,52ad320ac88ab1f09ed75391e88fed5d,TIMEOUT,23204,28,12,39624,60.000,0,1,163,0,19634,0,0,0
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s1.txt,14,14,30,3,8,8,1,16,458d0ac7aaf54169194d51fcf14a575a,TIMEOUT,23312,28,16,38387,60.000,0,1,355,0,18814,0,0,0
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s2.txt,14,14,30,3,8,8,2,16,b154021cf5ad79ee5b63420042853c6e,TIMEOUT,22179,28,16,39004,60.000,0,1,831,0,18648,0,0,0
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s3.txt,14,14,30,3,8,8,3,16,f357b5d9525f1943fcccc0325f557a71,TIMEOUT,26063,28,16,41553,60.000,0,1,6632,0,13993,127,0,0
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s1.txt,15,15,30,3,2,2,1,4,01125bb3b98c1aab7b018154b08e27a4,TIMEOUT,inf,30,4,61142,60.001,0,1,36,0,0,30525,0,0
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s2.txt,15,15,30,3,2,2,2,4,462aaa6a6da77103460f0502da72d686,TIMEOUT,23415,30,4,56192,60.001,0,1,0,0,28064,15,0,0
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s3.txt,15,15,30,3,2,2,3,4,184ff773686d77e0f076cc5b468c8b2f,TIMEOUT,25054,30,4,52454,60.000,0,1,0,0,26020,187,0,0
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s1.txt,15,15,30,3,4,4,1,8,31477f3de467215f9a6b62b38233eb6b,TIMEOUT,24638,30,8,46462,60.001,0,1,0,0,23185,13,0,0
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s2.txt,15,15,30,3,4,4,2,8,cd7cae75f624ddd5a50d176b79ea46c7,TIMEOUT,22977,30,8,48459,60.000,0,1,0,0,24211,0,0,0
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s3.txt,15,15,30,3,4,4,3,8,48e0df726d176a84d176a194d2a9b12c,TIMEOUT,22066,30,8,44343,60.410,0,1,0,0,22152,0,0,0
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s1.txt,15,15,30,3,6,6,1,12,69a81bdf3ead12e3153990d518f18cab,TIMEOUT,24490,30,12,45137,60.000,0,1,33,0,22489,24,0,0
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s2.txt,15,15,30,3,6,6,2,12,fdf4cc20b04d8d02c90a852c4d3d6fbf,TIMEOUT,20638,30,12,40598,60.001,0,1,9,0,20277,0,0,0
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s3.txt,15,15,30,3,6,6,3,12,5fadef7e63fe3604ff382b27b0bb7ff7,TIMEOUT,18897,30,12,45003,60.001,0,1,0,0,22474,7,0,0
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s1.txt,15,15,30,3,8,8,1,16,993c4dccbdfb095e78f41cc4997cb634,TIMEOUT,22747,30,16,34886,60.002,0,1,1087,0,16143,192,0,0
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s2.txt,15,15,30,3,8,8,2,16,2f2498891cff4b605ba6f4a2bdf4351f,TIMEOUT,21780,30,16,38186,60.001,0,1,120,0,18956,0,0,0
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s3.txt,15,15,30,3,8,8,3,16,bbc799f717d242babc3d4ae9446448e5,TIMEOUT,25975,30,16,35069,60.001,0,1,55,0,17452,10,0,0
kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s1.txt,20,20,100,10,2,2,1,4,0789434acbb8e11526baae9b20064956,TIMEOUT,134555,40,4,1294,60.017,0,1,0,0,631,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s2.txt,20,20,100,10,2,2,2,4,86c46d0e0d82e281e20f716c604018f1,TIMEOUT,129583,40,4,1282,60.020,0,1,0,0,632,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s3.txt,20,20,100,10,2,2,3,4,46da5f3ea6e1e6d13d177dc001905b16,TIMEOUT,127650,40,4,1262,60.042,0,1,0,0,615,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s4.txt,20,20,100,10,2,2,4,4,6921e44550bbefd752241cf96c4c2f8a,TIMEOUT,126887,40,4,1322,60.008,0,1,0,0,646,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s5.txt,20,20,100,10,2,2,5,4,91228ca869b49a1aea1111714a0e2b53,TIMEOUT,129745,40,4,1272,60.007,0,1,0,0,620,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s1.txt,20,20,100,10,3,3,1,6,e4af644c0b0f8de419495143c8903391,TIMEOUT,127987,40,6,1290,60.049,0,1,0,0,634,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s2.txt,20,20,100,10,3,3,2,6,2956513a062b6c931e4e84b65e595413,TIMEOUT,127389,40,6,1276,60.034,0,1,0,0,628,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s3.txt,20,20,100,10,3,3,3,6,d59bb549f0c8dcf14a5ffda7c863ed6c,TIMEOUT,125329,40,6,1322,60.044,0,1,0,0,648,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s4.txt,20,20,100,10,3,3,4,6,de63f55180cdca7ba99d97f32245cf5c,TIMEOUT,129942,40,6,1289,60.030,0,1,0,0,634,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s5.txt,20,20,100,10,3,3,5,6,f2d7f5126b5931af0fe353943a1e2403,TIMEOUT,130876,40,6,1296,60.033,0,1,0,0,636,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI4_tJ4_s1.txt,20,20,100,10,4,4,1,8,cf07a249b7fbb5d0b869874bbb4a4a6a,TIMEOUT,128135,40,8,1299,60.030,0,1,0,0,636,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI4_tJ4_s2.txt,20,20,100,10,4,4,2,8,3e64cff725e5e87b2196af4c1ddddac7,TIMEOUT,126435,40,8,1311,60.016,0,1,0,0,644,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI4_tJ4_s3.txt,20,20,100,10,4,4,3,8,10a6e5eede18fb322b02508ecb4fd263,TIMEOUT,132458,40,8,1270,60.046,0,1,0,0,623,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI4_tJ4_s4.txt,20,20,100,10,4,4,4,8,41a5cf782cce098a3918211ab1aab5cb,TIMEOUT,126395,40,8,1293,60.042,0,1,0,0,637,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI4_tJ4_s5.txt,20,20,100,10,4,4,5,8,130682f5e1fa165369499d95843a2af5,TIMEOUT,128558,40,8,1264,60.002,0,1,0,0,619,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI5_tJ5_s1.txt,20,20,100,10,5,5,1,10,1549a604d98648e24f580f788a24587e,TIMEOUT,126078,40,10,1298,60.009,0,1,0,0,633,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI5_tJ5_s2.txt,20,20,100,10,5,5,2,10,e501abf002ebd54e3ebe565487d675ac,TIMEOUT,125451,40,10,1265,60.029,0,1,0,0,619,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI5_tJ5_s3.txt,20,20,100,10,5,5,3,10,d7a65214dfa8e5a88103920e219913de,TIMEOUT,129270,40,10,1317,60.005,0,1,0,0,648,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI5_tJ5_s4.txt,20,20,100,10,5,5,4,10,d50e26a8e89a385a70b2c688aa7642cc,TIMEOUT,129254,40,10,1294,60.007,0,1,0,0,629,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI5_tJ5_s5.txt,20,20,100,10,5,5,5,10,967793b0fd0cf35a08466dd84821830a,TIMEOUT,131866,40,10,1274,60.005,0,1,0,0,622,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI6_tJ6_s1.txt,20,20,100,10,6,6,1,12,437c807c2eff526e921d8cbf6d9d5ef5,TIMEOUT,130721,40,12,1262,60.006,0,1,0,0,620,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI6_tJ6_s2.txt,20,20,100,10,6,6,2,12,1aca82b50f9f7735097289032c31cda6,TIMEOUT,131138,40,12,1254,60.017,0,1,0,0,614,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI6_tJ6_s3.txt,20,20,100,10,6,6,3,12,8a192d564990ed700c6e47864987f2fa,TIMEOUT,129687,40,12,1256,60.037,0,1,0,0,614,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI6_tJ6_s4.txt,20,20,100,10,6,6,4,12,f765c44da611b07bfda13f4911b899b9,TIMEOUT,132444,40,12,1305,60.046,0,1,0,0,643,0,0,0
kstar_nI20_nJ20_nK100_nL10_tI6_tJ6_s5.txt,20,20,100,10,6,6,5,12,35da25b85b6eb710c51e045a46cd47d9,TIMEOUT,133575,40,12,1264,60.023,0,1,0,0,619,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI2_tJ2_s1.txt,20,20,100,5,2,2,1,4,7b5b0114f8074b04c98130589470aac2,TIMEOUT,inf,40,4,2915,60.006,0,1,0,0,0,1440,0,0
kstar_nI20_nJ20_nK100_nL5_tI2_tJ2_s2.txt,20,20,100,5,2,2,2,4,bf3bdc969e6ae5b9f4098c13a8cac6ea,TIMEOUT,71053,40,4,2605,60.021,0,1,0,0,1289,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI2_tJ2_s3.txt,20,20,100,5,2,2,3,4,8219732333ca05684b2ac01e37fcdd07,TIMEOUT,70885,40,4,2846,60.002,0,1,0,0,1404,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI2_tJ2_s4.txt,20,20,100,5,2,2,4,4,1c8bee9fb52d0a3b877976b205f4cd19,TIMEOUT,65694,40,4,2667,60.009,0,1,0,0,1321,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI2_tJ2_s5.txt,20,20,100,5,2,2,5,4,af4691f10bdb69d798a5361417b208ef,TIMEOUT,73438,40,4,2729,60.019,0,1,0,0,1352,0,0,0
kstar_nI20_nJ20_nK100_nL5_tI3_tJ3_s1.txt,20,20,100,5,3,3,1,6,eba9f6a1cc8b007b005add7473de13a6,TIMEOUT,75015,40,6,2699,60.010,0,1,0,0,1061,270,0,0
