datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260717-082720,kstar_nI40_nJ20_nK50_nL5_tI4_tJ4_s5,exact,1,0,0,600,FEASIBLE,47937.00,29553.13,0.38350053,600.00,600.00,-1.00,-1.00,-1.00,31513,-1.00,47937.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI4_tJ4_s5_m1_exact_s0_20260717-082720.gurobi.log
20260717-083722,kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s1,exact,1,0,0,600,FEASIBLE,46101.00,30951.05,0.32862530,600.00,600.00,-1.00,-1.00,-1.00,28425,-1.00,46101.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s1_m1_exact_s0_20260717-083722.gurobi.log
20260717-084725,kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s2,exact,1,0,0,600,FEASIBLE,46934.00,29112.70,0.37970970,600.00,600.00,-1.00,-1.00,-1.00,30881,-1.00,46934.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s2_m1_exact_s0_20260717-084725.gurobi.log
20260717-085728,kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s3,exact,1,0,0,600,FEASIBLE,47506.00,32297.36,0.32014141,600.00,600.00,-1.00,-1.00,-1.00,28608,-1.00,47506.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s3_m1_exact_s0_20260717-085728.gurobi.log
20260717-090731,kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s4,exact,1,0,0,600,FEASIBLE,52484.00,29550.75,0.43695697,600.00,600.00,-1.00,-1.00,-1.00,29820,-1.00,52484.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s4_m1_exact_s0_20260717-090731.gurobi.log
20260717-091733,kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s5,exact,1,0,0,600,FEASIBLE,47817.00,29750.49,0.37782600,600.00,600.00,-1.00,-1.00,-1.00,29332,-1.00,47817.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI5_tJ5_s5_m1_exact_s0_20260717-091733.gurobi.log
20260717-092735,kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s1,exact,1,0,0,600,FEASIBLE,42632.00,29965.21,0.29711925,600.00,600.00,-1.00,-1.00,-1.00,25600,-1.00,42632.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s1_m1_exact_s0_20260717-092735.gurobi.log
20260717-093738,kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s2,exact,1,0,0,600,FEASIBLE,44853.00,33597.32,0.25094602,600.00,600.00,-1.00,-1.00,-1.00,28842,-1.00,44853.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s2_m1_exact_s0_20260717-093738.gurobi.log
20260717-094740,kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s3,exact,1,0,0,600,FEASIBLE,43418.00,31438.89,0.27590186,600.00,600.00,-1.00,-1.00,-1.00,30441,-1.00,43418.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s3_m1_exact_s0_20260717-094740.gurobi.log
20260717-095743,kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s4,exact,1,0,0,600,FEASIBLE,44533.00,31206.66,0.29924646,600.00,600.00,-1.00,-1.00,-1.00,27803,-1.00,44533.00,1,13.0.2,logs/kstar_nI40_nJ20_nK50_nL5_tI6_tJ6_s4_m1_exact_s0_20260717-095743.gurobi.log
