instance,nI,nJ,nK,nL,tI,tJ,seed,status,obj,k_used,kstar,nodes,time,timeout,p1,p2i,p2b,p3
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s8,10,10,30,3,8,8,8,OPTIMAL,26221,20,16,635,0.692,0,217,0,98,0
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s1,12,12,30,3,2,2,1,OPTIMAL,22462,24,4,109899,129.688,0,4,0,54937,0
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s10,12,12,30,3,2,2,10,OPTIMAL,27122,24,4,72029,96.391,0,0,0,36007,2
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s3,12,12,30,3,2,2,3,OPTIMAL,20702,24,4,53357,69.409,0,1,0,26627,41
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s2,12,12,30,3,2,2,2,OPTIMAL,22072,24,4,56575,68.332,0,0,0,28272,3
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s4,12,12,30,3,2,2,4,OPTIMAL,22904,24,4,43411,48.822,0,0,0,21263,427
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s5,12,12,30,3,2,2,5,OPTIMAL,22798,24,4,60509,76.426,0,29,0,26215,4007
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s6,12,12,30,3,2,2,6,OPTIMAL,23882,24,4,67993,84.793,0,3,0,33986,0
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s7,12,12,30,3,2,2,7,OPTIMAL,22579,24,4,84517,102.138,0,0,0,41110,1134
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s8,12,12,30,3,2,2,8,OPTIMAL,24928,24,4,94711,114.975,0,0,0,47255,86
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s9,12,12,30,3,2,2,9,OPTIMAL,21603,24,4,140641,163.828,0,0,0,70308,0
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s1,12,12,30,3,4,4,1,OPTIMAL,22170,24,8,86545,111.105,0,730,0,33301,9207
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s3,12,12,30,3,4,4,3,OPTIMAL,21407,24,8,51195,67.303,0,141,0,25449,0
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s10,12,12,30,3,4,4,10,OPTIMAL,23994,24,8,223831,281.263,0,2871,0,92604,16433
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s5,12,12,30,3,4,4,5,OPTIMAL,23499,24,8,62623,91.229,0,165,0,30383,748
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s2,12,12,30,3,4,4,2,OPTIMAL,23439,24,8,73015,107.172,0,93,0,36403,0
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s7,12,12,30,3,4,4,7,OPTIMAL,22359,24,8,34287,50.644,0,302,0,16826,0
