datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260715-204758,kstar_nI20_nJ40_nK100_nL5_tI3_tJ3_s3,exact,0,0,0,600,OPTIMAL,52688.00,52688.00,0.00000000,0.74,0.80,-1.00,-1.00,-1.00,0,-1.00,52688.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI3_tJ3_s3_m0_exact_s0_20260715-204758.gurobi.log
20260715-204759,kstar_nI20_nJ40_nK100_nL5_tI3_tJ3_s4,exact,0,0,0,600,OPTIMAL,58569.00,58569.00,0.00000000,0.91,0.97,-1.00,-1.00,-1.00,0,-1.00,58569.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI3_tJ3_s4_m0_exact_s0_20260715-204759.gurobi.log
20260715-204800,kstar_nI20_nJ40_nK100_nL5_tI3_tJ3_s5,exact,0,0,0,600,OPTIMAL,56208.00,56208.00,0.00000000,0.69,0.75,-1.00,-1.00,-1.00,0,-1.00,56208.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI3_tJ3_s5_m0_exact_s0_20260715-204800.gurobi.log
20260715-204801,kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s1,exact,0,0,0,600,OPTIMAL,56727.00,56727.00,0.00000000,0.79,0.85,-1.00,-1.00,-1.00,0,-1.00,56727.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s1_m0_exact_s0_20260715-204801.gurobi.log
20260715-204802,kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s2,exact,0,0,0,600,OPTIMAL,55642.00,55642.00,0.00000000,0.66,0.71,-1.00,-1.00,-1.00,0,-1.00,55642.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s2_m0_exact_s0_20260715-204802.gurobi.log
20260715-204803,kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s3,exact,0,0,0,600,OPTIMAL,57265.00,57265.00,0.00000000,0.66,0.72,-1.00,-1.00,-1.00,0,-1.00,57265.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s3_m0_exact_s0_20260715-204803.gurobi.log
20260715-204803,kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s4,exact,0,0,0,600,OPTIMAL,58569.00,58569.00,0.00000000,0.64,0.70,-1.00,-1.00,-1.00,0,-1.00,58569.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s4_m0_exact_s0_20260715-204803.gurobi.log
20260715-204804,kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s5,exact,0,0,0,600,OPTIMAL,53745.00,53745.00,0.00000000,0.79,0.85,-1.00,-1.00,-1.00,0,-1.00,53745.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI4_tJ4_s5_m0_exact_s0_20260715-204804.gurobi.log
20260715-204805,kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s1,exact,0,0,0,600,OPTIMAL,55620.00,55620.00,0.00000000,0.58,0.64,-1.00,-1.00,-1.00,0,-1.00,55620.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s1_m0_exact_s0_20260715-204805.gurobi.log
20260715-204806,kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s2,exact,0,0,0,600,OPTIMAL,53914.00,53914.00,0.00000000,0.64,0.70,-1.00,-1.00,-1.00,0,-1.00,53914.00,1,13.0.2,logs/kstar_nI20_nJ40_nK100_nL5_tI5_tJ5_s2_m0_exact_s0_20260715-204806.gurobi.log
