datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260712-070822,PSC2-C1-100-5,exact,0,0,0,3600,FEASIBLE,3784038.00,3773951.82,0.00266545,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3784038.00,1,13.0.2,logs/PSC2-C1-100-5_m0_exact_s0_20260712-070822.gurobi.log
20260712-080825,PSC2-C1-50-10,exact,0,0,0,3600,FEASIBLE,3277832.00,3270462.60,0.00224825,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3277832.00,1,13.0.2,logs/PSC2-C1-50-10_m0_exact_s0_20260712-080825.gurobi.log
20260712-090826,PSC2-C1-50-5,exact,0,0,0,3600,FEASIBLE,1931427.00,1927205.61,0.00218563,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,1931427.00,1,13.0.2,logs/PSC2-C1-50-5_m0_exact_s0_20260712-090826.gurobi.log
20260712-100828,PSC2-C2-100-10,exact,0,0,0,3600,FEASIBLE,6511645.00,5923171.60,0.09037246,3599.24,3600.00,-1.00,-1.00,-1.00,0,-1.00,6509943.00,1,13.0.2,logs/PSC2-C2-100-10_m0_exact_s0_20260712-100828.gurobi.log
20260712-142532,PSC2-C2-100-5,exact,0,0,0,3600,FEASIBLE,3216129.00,3206389.03,0.00302848,3599.99,3600.00,-1.00,-1.00,-1.00,0,-1.00,3216129.00,1,13.0.2,logs/PSC2-C2-100-5_m0_exact_s0_20260712-142532.gurobi.log
20260712-152533,PSC2-C2-50-10,exact,0,0,0,3600,FEASIBLE,3010793.00,2987742.35,0.00765601,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3010793.00,1,13.0.2,logs/PSC2-C2-50-10_m0_exact_s0_20260712-152533.gurobi.log
20260712-174150,PSC2-C2-50-5,exact,0,0,0,3600,FEASIBLE,1639643.00,1634534.40,0.00311568,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,1639643.00,1,13.0.2,logs/PSC2-C2-50-5_m0_exact_s0_20260712-174150.gurobi.log
20260712-184151,PSC2-C3-100-10,exact,0,0,0,3600,FEASIBLE,52708015.00,50574785.74,0.04047258,3599.14,3600.00,-1.00,-1.00,-1.00,0,-1.00,52699299.00,1,13.0.2,logs/PSC2-C3-100-10_m0_exact_s0_20260712-184151.gurobi.log
20260712-194154,PSC2-C3-100-5,exact,0,0,0,3600,FEASIBLE,26267411.00,25540046.96,0.02769074,3599.81,3600.00,-1.00,-1.00,-1.00,0,-1.00,26256932.00,1,13.0.2,logs/PSC2-C3-100-5_m0_exact_s0_20260712-194154.gurobi.log
20260712-204155,PSC2-C3-50-10,exact,0,0,0,3600,FEASIBLE,25661169.00,25554738.06,0.00414755,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,25661169.00,1,13.0.2,logs/PSC2-C3-50-10_m0_exact_s0_20260712-204155.gurobi.log
20260712-214157,PSC2-C3-50-5,exact,0,0,0,3600,FEASIBLE,13065189.00,13004197.62,0.00466824,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,13065189.00,1,13.0.2,logs/PSC2-C3-50-5_m0_exact_s0_20260712-214157.gurobi.log
20260712-224158,PSC2-C4-100-10,exact,0,0,0,3600,FEASIBLE,8608682.00,6610911.54,0.23206461,3599.19,3600.00,-1.00,-1.00,-1.00,0,-1.00,8595352.00,1,13.0.2,logs/PSC2-C4-100-10_m0_exact_s0_20260712-224158.gurobi.log
