instance,obj,gap,status,root_lp,nodes,best_obj,best_bound
PSC3-C3-50-10,25559493.00,0.00439263,FEASIBLE,2.519488e+07,2626,2.555949300000e+07,2.544721964531e+07
PSC3-C3-50-5,12987035.00,0.00453807,FEASIBLE,1.275883e+07,8263,1.298703500000e+07,1.292809887611e+07
PSC3-C4-100-10,8579478.02,0.22964842,FEASIBLE,6.589586e+06,1,8.579478021277e+06,6.609214431254e+06
PSC3-C4-100-5,3681755.00,0.02407178,FEASIBLE,3.570635e+06,14,3.681755000000e+06,3.593128594040e+06
PSC3-C4-50-10,4103165.00,0.17509460,FEASIBLE,3.332273e+06,31,4.103165000000e+06,3.384722972402e+06
PSC3-C4-50-5,1880031.00,0.01706252,FEASIBLE,1.818693e+06,2362,1.880031000000e+06,1.847952929889e+06
PSC3-C5-100-10,52376633.00,0.02957183,FEASIBLE,5.072429e+07,1,5.237663300000e+07,5.082776027738e+07
PSC3-C5-100-5,26054145.00,0.01190548,FEASIBLE,2.565315e+07,12,2.605414500000e+07,2.574395792845e+07
PSC3-C5-50-10,25740016.00,0.00423301,FEASIBLE,2.546721e+07,711,2.574001600000e+07,2.563105827472e+07
PSC3-C5-50-5,13127989.00,0.00350079,FEASIBLE,1.299223e+07,4424,1.312798900000e+07,1.308203070078e+07
PSC4-C1-100-10,6535649.46,0.00269441,FEASIBLE,6.516529e+06,159,6.535649461739e+06,6.518039736259e+06
PSC4-C1-100-5,3781006.00,0.00116910,FEASIBLE,3.774843e+06,3600,3.781006000000e+06,3.776585618509e+06
PSC4-C1-50-10,3279183.00,0.00117384,FEASIBLE,3.268393e+06,7640,3.279183000000e+06,3.275333771311e+06
PSC4-C1-50-5,1909659.00,0.00000000,OPTIMAL,1.905267e+06,49725,1.909659000000e+06,1.909659000000e+06
PSC4-C2-100-10,6515616.00,0.08933629,FEASIBLE,5.931362e+06,1,6.515616000000e+06,5.933535052677e+06
PSC4-C2-100-5,3225783.00,0.00307127,FEASIBLE,3.212970e+06,1666,3.225783000000e+06,3.215875752259e+06
PSC4-C2-50-10,3007179.00,0.00780971,FEASIBLE,2.974743e+06,145,3.007179000000e+06,2.983693807933e+06
PSC4-C3-100-10,52692152.00,0.03953567,FEASIBLE,5.046205e+07,1,5.269215200000e+07,5.060893236033e+07
PSC4-C3-100-5,26262772.00,0.02615521,FEASIBLE,2.538941e+07,1,2.626277200000e+07,2.557586355952e+07
PSC4-C3-50-10,25653500.00,0.00401573,FEASIBLE,2.529989e+07,2395,2.565350000000e+07,2.555048239338e+07
PSC4-C3-50-5,13062003.00,0.00488840,FEASIBLE,1.283080e+07,7571,1.306200300000e+07,1.299815068363e+07
PSC4-C4-100-10,8659706.00,0.23544671,FEASIBLE,6.597385e+06,1,8.659706000000e+06,6.620806742006e+06
PSC4-C4-100-5,3636368.00,0.01687323,FEASIBLE,3.552570e+06,12,3.636368000000e+06,3.575010708863e+06
PSC4-C4-50-10,4109608.00,0.17883854,FEASIBLE,3.326429e+06,24,4.109608000000e+06,3.374651721231e+06
PSC4-C4-50-5,1877617.00,0.01925111,FEASIBLE,1.812308e+06,1852,1.877617000000e+06,1.841470781970e+06
PSC4-C5-100-10,52381243.00,0.02851997,FEASIBLE,5.080477e+07,1,5.238124300000e+07,5.088733153837e+07
PSC4-C5-100-5,26093878.00,0.01083436,FEASIBLE,2.571928e+07,12,2.609387800000e+07,2.581116752939e+07
PSC4-C5-50-10,25710759.00,0.00273590,FEASIBLE,2.547714e+07,616,2.571075900000e+07,2.564041693232e+07
PSC4-C5-50-5,13137160.00,0.00321572,FEASIBLE,1.300654e+07,2791,1.313716000000e+07,1.309491456853e+07
PSC5-C1-100-10,6546927.00,0.00385250,FEASIBLE,6.520017e+06,86,6.546927000000e+06,6.521704958883e+06
PSC5-C1-100-5,3800903.00,0.00211366,FEASIBLE,3.791883e+06,4448,3.800903000000e+06,3.792869166973e+06
PSC5-C1-50-10,3272952.00,0.00227942,FEASIBLE,3.260538e+06,5853,3.272952000000e+06,3.265491566470e+06
PSC5-C1-50-5,1895151.00,0.00000000,OPTIMAL,1.889396e+06,31222,1.895151000000e+06,1.895151000000e+06
PSC5-C2-100-10,6373777.00,0.07299157,FEASIBLE,5.905587e+06,1,6.373777000000e+06,5.908545039148e+06
PSC5-C2-100-5,3199932.00,0.00135069,FEASIBLE,3.191580e+06,1016,3.199932000000e+06,3.195609881572e+06
PSC5-C2-50-10,3007703.00,0.00858902,FEASIBLE,2.972513e+06,122,3.007703000000e+06,2.981869769461e+06
PSC5-C2-50-5,1639445.00,0.00335496,FEASIBLE,1.624105e+06,12337,1.639445000000e+06,1.633944725468e+06
PSC4-C2-50-5,1644053.00,0.00469476,FEASIBLE,1.629022e+06,8728,1.644053000000e+06,1.636334568931e+06
PSC5-C3-100-10,52665983.00,0.04050429,FEASIBLE,5.039875e+07,1,5.266598300000e+07,5.053278477371e+07
PSC5-C3-100-5,26230564.00,0.02800174,FEASIBLE,2.532218e+07,1,2.623056400000e+07,2.549606244661e+07
PSC5-C3-50-10,25618966.00,0.00435829,FEASIBLE,2.525744e+07,2005,2.561896600000e+07,2.550731118118e+07
PSC5-C3-50-5,13018613.00,0.00500970,FEASIBLE,1.278818e+07,7834,1.301861300000e+07,1.295339362161e+07
PSC5-C4-100-10,8625647.07,0.23323160,FEASIBLE,6.593788e+06,1,8.625647068966e+06,6.613873560425e+06
PSC5-C4-100-5,3868334.62,0.07274816,FEASIBLE,3.566213e+06,4,3.868334621699e+06,3.586920387958e+06
PSC5-C4-50-10,4071780.00,0.17010285,FEASIBLE,3.330053e+06,22,4.071780000000e+06,3.379158617284e+06
PSC5-C4-50-5,1883435.00,0.01845084,FEASIBLE,1.818083e+06,2136,1.883435000000e+06,1.848684042218e+06
PSC5-C5-100-10,52497166.00,0.03143589,FEASIBLE,5.074388e+07,1,5.249716600000e+07,5.084687065276e+07
PSC5-C5-100-5,26049079.00,0.01134729,FEASIBLE,2.566223e+07,15,2.604907900000e+07,2.575349262278e+07
PSC5-C5-50-10,25678907.00,0.00307287,FEASIBLE,2.543869e+07,759,2.567890700000e+07,2.559999903827e+07
PSC5-C5-50-5,13097173.00,0.00347954,FEASIBLE,1.296348e+07,3116,1.309717300000e+07,1.305160087017e+07
